Disease Name,Symptoms
Abdominal aortic aneurysm,"In most cases, an AAA causes no noticeable symptoms. However, if it becomes large, some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain.
An AAA doesn’t usually pose a serious threat to health, but there’s a risk that a larger aneurysm could burst (rupture).
A ruptured aneurysm can cause massive internal bleeding, which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery.
The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen.
If you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance."
Achillies tendinopathy,"Symptoms may vary from person to person. They can appear gradually or suddenly.
People may experience:

swelling
pain that’s worse during or after moving or exercising
stiffness that’s worse in the morning or after a period of rest
tenderness to touch the affected area
mild heat
loss of movement and strength around the ankle and foot

People can have one or multiple symptoms."
Acne,
Acute cholecystitis,
Acute lymphoblastic leukaemia,"Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells (immature white blood cells) in your blood increases.
Most of the symptoms are caused by the lack of healthy blood cells in your blood supply.
Symptoms of acute lymphoblastic leukaemia include:

pale skin
feeling tired and breathless
having repeated infections over a short space of time
unusual and frequent bleeding, such as bleeding gums or nose bleeds
high temperature (fever) of 38C (100.4F) or above
night sweats
bone and joint pain
easily bruised skin
swollen lymph nodes (glands)
abdominal pain – caused by a swollen liver or spleen
unexplained weight loss 
a purple skin rash (purpura)

In some cases of acute lymphoblastic leukaemia, the affected cells can spread from your bloodstream into your central nervous system. This can cause a series of neurological symptoms (related to the brain and nervous system), including:

headaches
seizures (fits)
vomiting
blurred vision
dizziness

If you or your child has some or even all of these symptoms, it is still highly unlikely that acute leukaemia is the cause.
However, see your GP as soon as possible because any condition that causes these symptoms needs to be promptly investigated and treated."
Acute lymphoblastic leukaemia: Children,
Acute lymphoblastic leukaemia: Teenagers and young adults,"Many of the symptoms of ALL are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:

looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
bruises – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal
infections – because there are too few mature white blood cells to fight infection
aches and pains in your bones
swollen glands (lymph nodes) in your neck, under your arm or in your groin
feeling unwell and run down
fever and sweats – you may have a high temperature without any obvious cause, such as an infection
headaches and visual disturbance

There can be other reasons you may have these symptoms. But if you are worried that you may have ALL, you should speak to your GP. They’ll examine you and refer you to a hospital if they think you need to see a specialist doctor."
Acute myeloid leukaemia,"The symptoms of acute myeloid leukaemia (AML) usually develop over a few weeks, becoming more severe as the number of immature white blood cells (blast cells) in your blood increases.
Symptoms of AML can include:

pale skin
tiredness
breathlessness
a high temperature (fever)
excessive sweating
weight loss
frequent infections
unusual and frequent bleeding, such as bleeding gums or nosebleeds
easily bruised skin
flat red or purple spots on the skin (petechiae)
bone and joint pain
a feeling of fullness or discomfort in your tummy (abdomen), caused by swelling of the liver or spleen

In rare cases of AML, the affected cells can spread into the central nervous system. This can cause symptoms such as headaches, fits (seizures), vomiting, blurred vision and dizziness.
See your GP if you or your child have these symptoms. Although it’s highly unlikely that AML is the cause, these symptoms need to be investigated and treated promptly."
Acute myeloid leukaemia: Children,
Acute myeloid leukaemia: Teenagers and young adults,"Many of the symptoms of AML are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:

looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
bruises or bleeding – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal
infections – because there are too few mature white blood cells to fight infection
aches and pains in your bones
swollen glands (lymph nodes) in your neck, under your arm or in your groin
feeling unwell and run down
fever and sweats – you may have a high temperature without any obvious cause, such as an infection
headaches and blurred vision – because of too many white blood cells
breathlessness – because of too many white blood cells.
"
Acute pancreatitis,"The main symptom of acute pancreatitis is a severe, dull pain around the top of your stomach that develops suddenly.
This aching pain often gets steadily worse and can travel along your back or below your left shoulder blade. Eating or drinking may also make you feel worse very quickly, especially fatty foods.
Leaning forward or curling into a ball may help to relieve the pain, but lying flat on your back often increases the pain.
Acute pancreatitis caused by gallstones usually develops after eating a large meal. If the condition is caused by alcohol, the pain often develops 6 to 12 hours after drinking a significant amount of alcohol.
Other symptoms of acute pancreatitis can include:

nausea (feeling sick) or vomiting
diarrhoea
indigestion
a high temperature (fever) of 38C (100.4F) or above
jaundice – yellowing of the skin and the whites of the eyes
tenderness or swelling of the abdomen (tummy)

Contact your GP immediately if you suddenly develop severe abdominal pain. If this isn’t possible, contact NHS 24 111 Service or your local out-of-hours service for advice."
